,diseases,%40-60,Gap_40-60,%60-80,Gap_60-80,%20-40,Gap_20-40,%80-,Gap_80-,%0-20,Gap_0-20
0,Atelectasis,0.4690265486725664,0.3867924528301887,0.31563421828908556,0.46261682242990654,0.15781710914454278,0.411214953271028,0.011799410029498525,0.875,0.045722713864306784,0.3870967741935484
1,Cardiomegaly,0.48872180451127817,0.5076923076923077,0.24060150375939848,0.21875,0.22556390977443608,0.5333333333333333,0.022556390977443608,0.0,0.022556390977443608,0.0
2,Consolidation,0.43724696356275305,0.17592592592592593,0.2591093117408907,0.359375,0.1902834008097166,0.3191489361702128,0.004048582995951417,0.0,0.10931174089068826,0.4074074074074074
3,Edema,0.5555555555555556,0.5333333333333333,0.3037037037037037,0.4878048780487805,0.1259259259259259,0.5294117647058824,0.0,,0.014814814814814815,0.0
4,Effusion,0.4588744588744589,0.5880503144654088,0.27994227994227994,0.6185567010309279,0.17604617604617603,0.5983606557377049,0.015873015873015872,0.2727272727272727,0.06926406926406926,0.6458333333333334
5,Emphysema,0.33088235294117646,0.5333333333333333,0.3235294117647059,0.3409090909090909,0.33088235294117646,0.4222222222222222,0.007352941176470588,0.0,0.007352941176470588,1.0
6,Fibrosis,0.5428571428571428,0.19298245614035087,0.23809523809523808,0.28,0.19047619047619047,0.15,0.01904761904761905,0.5,0.009523809523809525,0.0
7,Hernia,0.5,0.3076923076923077,0.2692307692307692,0.7142857142857143,0.0,,0.23076923076923078,0.6666666666666666,0.0,
8,Infiltration,0.47439613526570046,0.395112016293279,0.2396135265700483,0.41935483870967744,0.20869565217391303,0.3194444444444444,0.01352657004830918,0.35714285714285715,0.06376811594202898,0.5151515151515151
9,Mass,0.4422535211267606,0.40764331210191085,0.2647887323943662,0.3829787234042553,0.24225352112676057,0.27906976744186046,0.011267605633802818,0.25,0.03943661971830986,0.7857142857142857
10,Nodule,0.5464190981432361,0.49514563106796117,0.20954907161803712,0.379746835443038,0.16710875331564987,0.42857142857142855,0.002652519893899204,1.0,0.07427055702917772,0.5714285714285714
11,Pleural_Thickening,0.39226519337016574,0.18309859154929578,0.32044198895027626,0.10344827586206896,0.22099447513812154,0.175,0.011049723756906077,0.0,0.055248618784530384,0.2
12,Pneumonia,0.4461538461538462,0.034482758620689655,0.23076923076923078,0.06666666666666667,0.2923076923076923,0.05263157894736842,0.0,,0.03076923076923077,0.5
13,Pneumothorax,0.39072847682119205,0.3983050847457627,0.152317880794702,0.21739130434782608,0.3973509933774834,0.4166666666666667,0.0,,0.059602649006622516,0.1111111111111111
