label,bestthr
Atelectasis,0.24551726877689362
Cardiomegaly,0.24550071358680725
Consolidation,0.13310053944587708
Edema,0.290550172328949
No Finding,0.3512001931667328
Pleural Effusion,0.3736749291419983
Pneumonia,0.14267410337924957
Pneumothorax,0.17640821635723114
