,diseases,%40-60,Gap_40-60,%60-80,Gap_60-80,%20-40,Gap_20-40,%80-,Gap_80-,%0-20,Gap_0-20
0,Atelectasis,0.4690265486725664,0.42452830188679247,0.31563421828908556,0.5514018691588785,0.15781710914454278,0.5046728971962616,0.011799410029498525,0.875,0.045722713864306784,0.5483870967741935
1,Cardiomegaly,0.48872180451127817,0.5384615384615384,0.24060150375939848,0.25,0.22556390977443608,0.6,0.022556390977443608,0.6666666666666666,0.022556390977443608,0.3333333333333333
2,Consolidation,0.43724696356275305,0.2037037037037037,0.2591093117408907,0.34375,0.1902834008097166,0.3617021276595745,0.004048582995951417,0.0,0.10931174089068826,0.4074074074074074
3,Edema,0.5555555555555556,0.5466666666666666,0.3037037037037037,0.4878048780487805,0.1259259259259259,0.5882352941176471,0.0,,0.014814814814814815,0.0
4,Effusion,0.4588744588744589,0.60062893081761,0.27994227994227994,0.5927835051546392,0.17604617604617603,0.5901639344262295,0.015873015873015872,0.2727272727272727,0.06926406926406926,0.5833333333333334
5,Emphysema,0.33088235294117646,0.4666666666666667,0.3235294117647059,0.3181818181818182,0.33088235294117646,0.4444444444444444,0.007352941176470588,0.0,0.007352941176470588,1.0
6,Fibrosis,0.5428571428571428,0.15789473684210525,0.23809523809523808,0.28,0.19047619047619047,0.3,0.01904761904761905,0.5,0.009523809523809525,0.0
7,Hernia,0.5,0.15384615384615385,0.2692307692307692,0.14285714285714285,0.0,,0.23076923076923078,0.8333333333333334,0.0,
8,Infiltration,0.47439613526570046,0.5376782077393075,0.2396135265700483,0.5,0.20869565217391303,0.42592592592592593,0.01352657004830918,0.5,0.06376811594202898,0.6060606060606061
9,Mass,0.4422535211267606,0.42038216560509556,0.2647887323943662,0.46808510638297873,0.24225352112676057,0.29069767441860467,0.011267605633802818,0.5,0.03943661971830986,0.7857142857142857
10,Nodule,0.5464190981432361,0.4174757281553398,0.20954907161803712,0.4177215189873418,0.16710875331564987,0.36507936507936506,0.002652519893899204,1.0,0.07427055702917772,0.4642857142857143
11,Pleural_Thickening,0.39226519337016574,0.23943661971830985,0.32044198895027626,0.1724137931034483,0.22099447513812154,0.2,0.011049723756906077,0.0,0.055248618784530384,0.1
12,Pneumonia,0.4461538461538462,0.3103448275862069,0.23076923076923078,0.26666666666666666,0.2923076923076923,0.3157894736842105,0.0,,0.03076923076923077,0.5
13,Pneumothorax,0.39072847682119205,0.5423728813559322,0.152317880794702,0.2826086956521739,0.3973509933774834,0.625,0.0,,0.059602649006622516,0.1111111111111111
