,diseases,diseases_abbr,Distance,%M,Gap_M_mean,CI_M,%F,Gap_F_mean,CI_F
3,Pleural Effusion,Effusion,0.0006335933419439499,0.5548553595006602,-0.00031679667097197497,0.0015130135245348829,0.4451446404993399,0.00031679667097197497,0.0015130135245348829
7,Edema,Edema,0.012315766516240778,0.54799459215863,0.006157883258120389,0.015358584270186952,0.45200540784137005,-0.006157883258120389,0.015358584270186952
6,Consolidation,Consolidation,0.01288217703101215,0.5637176620887895,-0.006441088515506075,0.006821498307551741,0.4362823379112105,0.006441088515506075,0.006821498307551741
2,Cardiomegaly,Cardiomegaly,0.02046756856907301,0.5474743008732177,-0.010233784284536505,0.02141861609035866,0.4525256991267824,0.010233784284536505,0.02141861609035866
1,Atelectasis,Atelectasis,0.05599967838546953,0.5768130241736557,0.027999839192734764,0.009612160669051866,0.42318697582634435,-0.027999839192734764,0.009612160669051866
5,Pneumothorax,Pneumothorax,0.05957084169293971,0.6327529923830251,0.029785420846469856,0.013418804985914886,0.367247007616975,-0.029785420846469856,0.013418804985914886
0,No Finding,No Finding,0.09484360538340386,0.49842575665244765,-0.04742180269170193,0.005664178873566673,0.5015742433475523,0.04742180269170193,0.005664178873566673
4,Pneumonia,Pneumonia,0.10454717284885488,0.5430276381909548,0.05227358642442744,0.011623188800652383,0.4569723618090452,-0.05227358642442744,0.011623188800652383
