,diseases,diseases_abbr,Distance,%40-60,Gap_40-60_mean,CI_40-60,%60-80,Gap_60-80_mean,CI_60-80,%20-40,Gap_20-40_mean,CI_20-40,%80-,Gap_80-_mean,CI_80-,%0-20,Gap_0-20_mean,CI_0-20
3,Pleural Effusion,Effusion,0.11516792983893602,0.31202736766294564,0.0,0.0,0.437042371864122,0.02392115949452387,0.002559818269484108,0.09212579522266234,-0.024462333961742844,0.005145075681110701,0.1492617933021246,0.03471559321396826,0.0033609265612881234,0.00954267194814548,-0.08045233662496776,0.008279003462329657
6,Consolidation,Consolidation,0.11547432550043517,0.3506866815713829,-0.006501402457315503,0.006584595843407927,0.3762376237623761,-0.007982719004456323,0.009739335009581511,0.13158735228361546,0.06561825022098748,0.01491473843872759,0.12232513573938039,-0.015454780781065786,0.003829009292796191,0.01916320664324497,0.10001954471936939,0.036917896947339386
5,Pneumothorax,Pneumothorax,0.116247427801036,0.3201849836779108,0.00434824970964901,0.010429214106871563,0.3558215451577802,0.0,0.0,0.22551686615886837,0.07532729828133822,0.01757467414670944,0.07399347116430903,-0.04092012951969778,0.01118237326720187,0.02448313384113166,-0.0072273190621814365,0.034036215735037456
7,Edema,Edema,0.14570548367221198,0.2942767012167643,0.0,0.0,0.4293600721045516,0.03004989184608269,0.015778903971388866,0.0884407390716539,-0.03464977906965401,0.00885201622027079,0.18285263632266788,0.09517460056858769,0.009216604553412413,0.005069851284362326,-0.05053088310362429,0.028551927130801426
4,Pneumonia,Pneumonia,0.22307520393340036,0.3489321608040201,0.0,0.0,0.38159547738693467,-0.05253992065873253,0.004466116826833792,0.15295226130653267,0.051778278443860806,0.02184175257841259,0.0986180904522613,-0.10142409145373135,0.016119026968240316,0.017902010050251257,0.121651112479669,0.013586200823646363
2,Cardiomegaly,Cardiomegaly,0.273141969702952,0.3129214104122914,-0.014583362934555578,0.01158878531730637,0.4152757820271914,0.04396833667395572,0.007125932492733013,0.11816071625953355,-0.0015788713690039423,0.003094587883247727,0.14734166021885708,0.07313531700035217,0.014001282692429487,0.006300431082126673,-0.20000665270259987,0.02114123198952571
1,Atelectasis,Atelectasis,0.2864370824163842,0.3504686729156389,0.028588596267194122,0.011092800328369339,0.4327577701036014,0.049570821652634336,0.01855741540687082,0.10370004933399113,-3.17760080306595e-05,6.228097574009261e-05,0.1039960532807104,-0.025175806180794635,0.025728886236602168,0.009077454366058214,-0.23686626076374986,0.026002666887184746
0,No Finding,No Finding,0.4441625654391612,0.4037680276254316,0.0,0.0,0.23253097704651635,-0.15683488205178095,0.006431772177331208,0.2889498273410522,0.10358296499274222,0.007073026009692473,0.03341458460288442,-0.31261908520998105,0.01916845306539822,0.041336583384115375,0.13154348022918014,0.006510150164096172
